entity,dateOfBirth,nationality,almaMater,awards,workPlaces
Allen Shenstone,['1893-07-27'],"['MC', 'Princeton']","['OBE', 'Princeton University', 'a Bachelor of Arts', 'the University of Cambridge', 'the University of Toronto', 'the Department of Physics', 'the Military Cross', 'the Royal Engineers']",[],"['OBE', 'Princeton University', 'a Bachelor of Arts', 'the University of Cambridge', 'the University of Toronto', 'the Department of Physics', 'the Military Cross', 'the Royal Engineers']"
Philip Maini,['1959-10-16'],"['Magherafelt', 'Northern Ireland']","['Philip Kumar Maini', 'the University of Oxford', 'the Centre for Mathematical Biology', 'the Mathematical Institute']",[],"['Philip Kumar Maini', 'the University of Oxford', 'the Centre for Mathematical Biology', 'the Mathematical Institute']"
Mark Walport,['1986-05-30'],"['London', 'London', 'Cambridge', 'London']","[""St Paul's School"", 'Clare College', 'Brompton Hospitals', 'the University of Cambridge']",[],"[""St Paul's School"", 'Clare College', 'Brompton Hospitals', 'the University of Cambridge']"
Richard D. Braatz,['1966-07-19'],"['B.S.', 'M.S.']","['the Edwin R. Gilliland', 'the Massachusetts Institute of Technology', 'the Hertz Foundation Thesis Prize', 'the American Automatic Control Council', 'the Curtis W. McGraw Research Award', 'the Engineering Research Council', 'the Antonio Ruberti Young Researcher Prize', 'the Antonio Ruberti Foundation', 'IEEE Control Systems Society', 'Institute of Electrical and Electronics Engineers', 'American Association for the Advancement of Science', 'Oregon State University', 'Chevron Research', 'the California Institute of Technology', 'NP', 'DuPont', 'the University of Illinois at Urbana-Champaign', 'Chemical', 'Biomolecular Engineering, Electrical and Computer Engineering, Mechanical Science and Engineering, Bioengineering', 'Applied Mathematics', 'Computational Science and Engineering', 'Harvard University', 'MIT']",[],"['the Edwin R. Gilliland', 'the Massachusetts Institute of Technology', 'the Hertz Foundation Thesis Prize', 'the American Automatic Control Council', 'the Curtis W. McGraw Research Award', 'the Engineering Research Council', 'the Antonio Ruberti Young Researcher Prize', 'the Antonio Ruberti Foundation', 'IEEE Control Systems Society', 'Institute of Electrical and Electronics Engineers', 'American Association for the Advancement of Science', 'Oregon State University', 'Chevron Research', 'the California Institute of Technology', 'NP', 'DuPont', 'the University of Illinois at Urbana-Champaign', 'Chemical', 'Biomolecular Engineering, Electrical and Computer Engineering, Mechanical Science and Engineering, Bioengineering', 'Applied Mathematics', 'Computational Science and Engineering', 'Harvard University', 'MIT']"
Carlos Bertulani,[],[],"['the Department of Physics', 'the Texas A&M University-Commerce', 'University of Bonn', 'the Federal University of Rio de Janeiro']",[],"['the Department of Physics', 'the Texas A&M University-Commerce', 'University of Bonn', 'the Federal University of Rio de Janeiro']"
Ruben Safrastyan,['1955-10-05'],"['Germany', 'Germany', 'Hungary', 'Bochum', 'Berkeley', 'Turkish', 'Yerevan', 'Armenia']","['the Institute of Oriental Studies', 'the Armenian National Academy of Sciences', 'the Yerevan State University', 'the Armenian Embassy', 'Fulbright (USA', 'Budapest', 'Turkic']",[],"['the Institute of Oriental Studies', 'the Armenian National Academy of Sciences', 'the Yerevan State University', 'the Armenian Embassy', 'Fulbright (USA', 'Budapest', 'Turkic']"
Licia Verde,['1971-05-30'],"['Venice', 'Italy', 'Laurea']","['the University of Barcelona', 'the University of Oslo', 'University of Padua', 'the University of Edinburgh', 'Princeton University', 'The University of Pennsylvania', 'ICREA', 'the University of Barcelona', 'the University of Oslo', 'the Physics of the Dark Universe Journal', 'WMAP', 'Universe']",[],"['the University of Barcelona', 'the University of Oslo', 'University of Padua', 'the University of Edinburgh', 'Princeton University', 'The University of Pennsylvania', 'ICREA', 'the University of Barcelona', 'the University of Oslo', 'the Physics of the Dark Universe Journal', 'WMAP', 'Universe']"
Wil Roebroeks,['2001-05-30'],"['Netherlands', 'Netherlands']","['Palaeolithic Archaeology', 'Leiden University', 'Royal Netherlands Academy of Arts and Sciences']",[],"['Palaeolithic Archaeology', 'Leiden University', 'Royal Netherlands Academy of Arts and Sciences']"
Charles Phelps Smyth,['1895-02-10'],[],"['Princeton University', 'Harvard University', 'the Princeton Department of Chemistry', 'the Office of Naval Research', 'the New York Section', 'the American Chemical Society', 'the National Bureau of Standards', 'the Chemical Warfare Service', 'the Manhattan Project']",[],"['Princeton University', 'Harvard University', 'the Princeton Department of Chemistry', 'the Office of Naval Research', 'the New York Section', 'the American Chemical Society', 'the National Bureau of Standards', 'the Chemical Warfare Service', 'the Manhattan Project']"
Peter M. Neumann,['1940-12-28'],['B.A.'],"[""The Queen's College"", 'Oxford', 'D.Phil', 'Oxford University', ""the Queen's College"", 'Oxford', 'Oxford University', ""the Queen's College"", 'the Mathematical Association of America', 'the London Mathematical Society', 'the United Kingdom Mathematics Trust', 'OBE']",[],"[""The Queen's College"", 'Oxford', 'D.Phil', 'Oxford University', ""the Queen's College"", 'Oxford', 'Oxford University', ""the Queen's College"", 'the Mathematical Association of America', 'the London Mathematical Society', 'the United Kingdom Mathematics Trust', 'OBE']"
